date,windSpeed3s,windDir3s,windSpeed2m,windDir2m,windSpeed10m,windDir10m,temperature
2022-03-12 11:00:00,2.16,304.19,1.57,315.68,1.35,313.30,21.00
2022-03-12 12:00:00,1.40,345.35,1.18,352.84,1.23,348.47,26.50
2022-03-12 13:00:00,1.33,260.43,0.98,254.11,0.82,250.82,23.17
2022-03-12 14:00:00,1.66,264.44,1.29,277.11,1.16,259.88,25.41
2022-03-12 15:00:00,1.63,253.58,1.55,260.59,1.35,259.28,25.67
2022-03-12 16:00:00,2.36,310.38,2.32,313.29,2.10,311.21,23.12
2022-03-12 17:00:00,1.72,276.56,2.08,280.93,1.69,284.86,25.43
2022-03-12 18:00:00,1.68,268.37,1.56,269.32,1.59,263.34,21.81
2022-03-12 19:00:00,0.97,355.44,1.02,347.06,0.89,350.66,16.18
2022-03-12 20:00:00,2.46,340.13,2.03,338.56,2.06,342.97,14.33
2022-03-12 21:00:00,2.91,205.14,2.38,193.82,2.22,204.10,10.50
2022-03-12 22:00:00,2.58,194.13,2.49,200.18,2.53,194.01,13.83
2022-03-12 23:00:00,5.38,206.65,4.46,203.61,4.39,204.01,25.76
2022-03-13 00:00:00,3.42,252.22,3.03,250.17,2.93,241.54,14.20
2022-03-13 01:00:00,2.87,227.41,2.66,220.39,2.39,226.17,10.80
2022-03-13 02:00:00,3.91,200.13,3.17,190.66,2.78,191.42,10.00
2022-03-13 03:00:00,2.36,236.96,2.26,231.73,2.35,220.05,8.44
2022-03-13 04:00:00,1.82,180.16,1.19,196.24,1.10,206.79,11.00
2022-03-13 05:00:00,2.33,179.50,1.58,144.21,1.92,194.24,10.50
2022-03-13 06:00:00,3.06,332.12,2.86,318.46,2.84,339.64,9.07
2022-03-13 07:00:00,2.65,91.72,2.33,140.17,2.00,156.12,6.88
2022-03-13 08:00:00,2.48,287.72,4.77,273.84,5.12,275.34,7.17
2022-03-13 09:00:00,3.33,228.31,2.99,249.63,3.21,253.76,9.17
2022-03-13 10:00:00,3.52,219.88,3.08,225.16,3.04,223.68,10.83
2022-03-13 11:00:00,1.90,257.05,2.22,256.24,2.13,255.66,20.50
2022-03-13 12:00:00,2.85,271.28,3.08,282.89,2.81,274.35,19.17
2022-03-13 13:00:00,3.33,292.94,3.27,295.54,3.35,297.17,18.67
2022-03-13 14:00:00,3.34,283.80,2.78,278.53,2.89,280.68,20.00
2022-03-13 15:00:00,2.45,280.21,2.61,298.72,2.70,284.66,22.25
2022-03-13 16:00:00,3.03,304.71,3.31,300.01,2.92,295.95,21.00
2022-03-13 17:00:00,2.45,310.28,2.42,317.53,2.39,318.00,21.33
2022-03-13 18:00:00,1.78,323.45,1.77,324.19,1.72,322.57,18.83
2022-03-13 19:00:00,0.70,229.76,0.79,232.15,0.81,300.29,15.50
2022-03-13 20:00:00,2.00,186.52,2.12,192.47,1.88,199.32,22.67
2022-03-13 21:00:00,2.78,227.06,3.01,237.36,2.64,200.27,11.67
2022-03-13 22:00:00,2.37,35.42,2.71,24.21,2.63,16.86,8.42
2022-03-13 23:00:00,3.20,132.74,3.03,134.26,2.95,141.53,6.00
2022-03-14 00:00:00,2.95,74.71,2.72,103.15,2.74,115.37,5.67
2022-03-14 01:00:00,2.80,128.22,2.59,137.35,2.28,135.66,6.00
2022-03-14 02:00:00,3.82,226.09,4.10,211.29,3.94,205.20,4.83
2022-03-14 03:00:00,4.09,243.69,3.63,241.05,2.95,239.85,4.00
2022-03-14 04:00:00,2.31,61.54,1.94,334.79,1.78,38.25,4.00
