date,windSpeed3s,windDir3s,windSpeed2m,windDir2m,windSpeed10m,windDir10m,temperature
2022-09-28 11:00:00,2.18,33.25,2.55,39.67,2.56,39.50,28.50
2022-09-28 12:00:00,2.01,36.47,1.79,33.67,1.87,30.52,30.83
2022-09-28 13:00:00,2.01,15.43,1.78,22.22,1.52,16.99,32.00
2022-09-28 14:00:00,2.08,1.01,1.79,12.02,1.43,10.27,35.50
2022-09-28 15:00:00,1.64,351.26,1.92,325.58,1.51,343.98,39.83
2022-09-28 16:00:00,2.17,332.83,2.15,343.71,1.99,334.64,34.50
2022-09-28 17:00:00,1.89,10.79,1.73,13.69,1.50,3.46,34.83
2022-09-28 18:00:00,1.20,38.22,1.25,36.26,1.34,32.96,32.17
2022-09-28 19:00:00,0.37,78.66,0.38,106.16,0.37,110.03,25.08
2022-09-28 20:00:00,0.81,119.69,0.95,132.49,0.73,134.92,19.67
2022-09-28 21:00:00,2.05,188.30,2.01,189.00,1.96,183.50,19.00
2022-09-28 22:00:00,2.02,174.62,2.16,179.88,2.26,181.57,20.00
2022-09-28 23:00:00,2.47,179.00,2.80,180.50,2.74,180.33,25.00
2022-09-29 00:00:00,1.86,209.07,2.15,201.58,1.92,208.41,17.83
2022-09-29 01:00:00,2.23,168.01,2.12,167.24,2.17,165.54,17.17
2022-09-29 02:00:00,1.71,169.99,1.89,167.39,1.99,170.19,17.17
2022-09-29 03:00:00,2.67,167.44,3.06,168.97,2.83,173.51,18.00
2022-09-29 04:00:00,4.53,175.67,4.36,175.50,4.44,175.83,12.67
2022-09-29 05:00:00,2.78,192.57,2.83,186.73,2.87,184.27,12.83
2022-09-29 06:00:00,1.19,297.01,1.46,231.30,1.37,264.24,15.75
2022-09-29 07:00:00,1.67,1.91,1.35,48.19,0.76,26.17,12.83
2022-09-29 08:00:00,1.45,112.32,1.16,105.15,1.08,116.71,15.83
2022-09-29 09:00:00,1.50,260.82,1.44,257.69,1.43,256.58,20.17
2022-09-29 10:00:00,3.09,296.42,2.44,303.32,2.38,297.17,24.33
2022-09-29 11:00:00,2.53,307.78,3.10,300.32,2.93,297.33,25.67
2022-09-29 12:00:00,3.52,292.29,2.87,303.20,3.02,298.68,27.00
2022-09-29 13:00:00,2.60,289.31,2.34,292.35,2.60,289.34,28.33
2022-09-29 14:00:00,2.87,314.98,2.86,302.87,2.76,302.64,29.67
2022-09-29 15:00:00,1.96,298.84,2.48,306.85,2.26,307.52,31.17
2022-09-29 16:00:00,1.49,303.85,1.53,299.09,1.51,306.40,33.17
2022-09-29 17:00:00,1.22,6.97,1.32,2.46,1.16,351.06,33.50
2022-09-29 18:00:00,0.76,18.60,0.66,14.17,0.70,10.33,35.50
2022-09-29 19:00:00,0.56,68.02,0.58,65.84,0.54,58.75,22.83
2022-09-29 20:00:00,0.80,133.20,0.65,108.47,0.66,109.19,17.92
2022-09-29 21:00:00,0.60,121.63,0.77,137.56,0.70,133.86,16.33
2022-09-29 22:00:00,1.01,143.83,1.12,142.97,1.15,145.01,14.83
2022-09-29 23:00:00,2.48,168.03,1.81,174.31,2.13,175.00,15.17
2022-09-30 00:00:00,2.27,65.77,2.12,92.27,1.68,46.83,15.33
2022-09-30 01:00:00,1.10,109.12,1.16,148.62,0.91,100.26,13.00
2022-09-30 02:00:00,0.83,324.21,1.01,292.49,0.77,304.44,10.17
2022-09-30 03:00:00,2.30,25.96,2.10,2.60,1.68,354.47,8.83
2022-09-30 04:00:00,1.99,73.88,2.32,69.87,1.86,60.82,18.67
2022-09-30 05:00:00,2.20,14.55,1.65,45.38,1.49,41.82,13.33
2022-09-30 06:00:00,3.22,122.84,2.02,83.05,1.49,96.01,6.33
2022-09-30 07:00:00,2.04,0.50,2.31,2.00,2.04,3.98,10.33
2022-09-30 08:00:00,1.23,93.62,1.18,74.45,1.08,82.91,14.33
2022-09-30 09:00:00,1.54,30.15,1.39,41.79,1.08,50.69,18.33
2022-09-30 10:00:00,2.23,48.19,2.12,42.39,1.91,41.38,24.83
2022-09-30 11:00:00,2.38,38.21,2.10,42.66,1.89,39.67,29.17
2022-09-30 12:00:00,1.17,42.27,1.61,56.53,1.77,38.50,30.92
2022-09-30 13:00:00,1.13,347.60,0.88,350.30,0.80,332.16,32.33
2022-09-30 14:00:00,1.30,291.78,0.87,299.65,0.84,312.06,33.08
2022-09-30 15:00:00,1.68,286.66,1.40,328.13,1.42,317.89,35.83
2022-09-30 16:00:00,1.89,334.57,2.16,323.18,2.11,326.20,37.17
2022-09-30 17:00:00,1.58,332.10,1.26,344.12,1.57,335.14,33.33
2022-09-30 18:00:00,1.01,355.44,1.23,354.15,1.29,346.74,29.83
2022-09-30 19:00:00,0.73,62.43,0.56,52.56,0.61,52.31,24.33
2022-09-30 20:00:00,0.85,108.66,0.86,104.02,0.90,89.39,19.17
2022-09-30 21:00:00,1.58,165.37,1.73,163.69,1.55,164.93,17.92
2022-09-30 22:00:00,3.05,175.17,3.59,177.83,3.35,178.17,18.50
2022-09-30 23:00:00,4.53,174.00,4.37,179.50,4.24,179.33,19.00
2022-10-01 00:00:00,2.07,266.58,2.02,168.37,2.38,123.14,17.83
2022-10-01 01:00:00,2.60,11.85,2.49,24.34,2.29,40.15,13.50
2022-10-01 02:00:00,1.97,96.66,1.36,118.68,1.44,111.90,11.42
2022-10-01 03:00:00,1.54,88.58,1.73,93.88,1.60,104.52,10.50
2022-10-01 04:00:00,2.00,90.81,2.51,59.37,2.50,55.68,13.33
2022-10-01 05:00:00,1.51,105.96,1.55,100.82,1.47,100.54,13.00
2022-10-01 06:00:00,1.46,124.11,1.24,110.72,1.21,108.16,15.00
2022-10-01 07:00:00,1.41,143.72,1.68,110.26,0.86,131.24,11.33
2022-10-01 08:00:00,1.90,88.72,1.60,85.96,1.42,81.62,14.00
2022-10-01 09:00:00,2.17,99.98,1.39,76.33,1.59,81.17,17.00
2022-10-01 10:00:00,3.23,61.67,2.28,68.12,2.23,67.83,19.50
2022-10-01 11:00:00,2.49,52.21,3.87,49.50,3.25,52.67,23.50
2022-10-01 12:00:00,4.50,50.51,4.04,51.17,4.02,49.67,29.17
2022-10-01 13:00:00,2.32,60.23,2.45,56.33,2.85,51.17,25.67
2022-10-01 14:00:00,2.25,21.77,2.13,26.06,2.18,32.70,28.08
2022-10-01 15:00:00,1.80,13.66,1.86,2.73,1.58,4.48,30.17
2022-10-01 16:00:00,2.81,36.82,2.79,34.29,2.55,34.27,28.83
2022-10-01 17:00:00,3.87,58.18,3.10,55.17,3.28,52.67,26.83
2022-10-01 18:00:00,3.28,74.57,2.09,68.61,1.82,71.74,22.00
2022-10-01 19:00:00,1.87,77.40,1.28,88.85,1.50,88.50,19.58
2022-10-01 20:00:00,2.26,75.07,1.40,83.55,1.40,81.03,19.00
2022-10-01 21:00:00,3.30,57.38,3.82,57.24,3.65,55.61,17.83
2022-10-01 22:00:00,3.73,44.17,4.17,50.83,4.39,50.67,15.50
2022-10-01 23:00:00,2.65,82.88,2.32,77.57,2.35,72.77,14.33
2022-10-02 00:00:00,3.06,71.01,2.67,74.52,2.55,72.82,12.50
2022-10-02 01:00:00,5.00,53.17,4.76,48.50,4.47,46.67,11.17
2022-10-02 02:00:00,4.30,45.85,3.22,39.55,3.36,40.74,8.83
2022-10-02 03:00:00,3.81,46.30,3.79,37.87,3.94,40.64,16.95
2022-10-02 04:00:00,3.48,82.81,3.68,64.30,3.56,56.59,7.00
2022-10-02 05:00:00,4.87,107.05,4.25,77.73,3.90,80.33,5.00
2022-10-02 06:00:00,4.00,80.25,4.05,96.16,3.83,90.03,4.17
2022-10-02 07:00:00,4.52,143.84,4.89,134.50,4.85,135.33,1.67
2022-10-02 08:00:00,2.62,64.99,1.93,76.64,1.70,59.02,6.67
2022-10-02 09:00:00,3.24,90.18,1.73,103.96,1.68,98.84,11.50
2022-10-02 10:00:00,1.90,80.37,2.17,102.19,1.99,106.17,22.83
2022-10-02 11:00:00,2.55,88.95,1.93,93.17,1.93,91.00,16.83
2022-10-02 12:00:00,2.84,90.95,2.66,69.67,2.33,74.49,17.00
2022-10-02 13:00:00,2.95,73.20,2.88,68.18,2.90,65.66,16.67
2022-10-02 14:00:00,3.33,74.25,3.06,67.18,2.83,67.32,16.33
2022-10-02 15:00:00,2.84,86.84,3.06,68.78,2.91,69.66,18.17
2022-10-02 16:00:00,3.11,71.55,2.86,62.66,2.71,65.17,16.83
2022-10-02 17:00:00,2.46,107.32,2.28,83.32,2.25,76.69,16.67
2022-10-02 18:00:00,2.08,95.29,1.95,84.34,2.11,81.01,14.50
2022-10-02 19:00:00,3.45,68.16,2.85,50.34,3.11,50.99,14.33
2022-10-02 20:00:00,1.97,86.75,1.76,78.20,1.70,80.12,12.00
2022-10-02 21:00:00,2.40,95.10,2.00,91.04,2.06,91.03,8.83
2022-10-02 22:00:00,3.76,16.43,2.92,33.03,3.00,38.92,7.00
2022-10-02 23:00:00,2.63,25.29,2.64,16.50,2.90,17.34,3.67
